TimeStep,Hubs_Top10%,Middle,Periphery_Bottom50%
0,0.500980534581444,0.5015840689633648,0.49959525643843544
1,0.5025451587327167,0.502765873202152,0.4993142021045031
2,0.5040854873142504,0.5046982703959841,0.49956284122846745
3,0.5055486136965897,0.5067779775892184,0.4999155733419148
4,0.5074880381347238,0.5087661543147373,0.5013197274720227
5,0.5095233248829524,0.511435308546585,0.502635342231347
6,0.510989684820107,0.5137735197017955,0.5047503078385626
7,0.5126940130104136,0.5165480740961833,0.5070870382942244
8,0.5148159975412611,0.5198085361063663,0.5094962489219445
9,0.5173043162793903,0.5229317744520612,0.512516754093356
10,0.5190455447861855,0.5264834240124349,0.5145815193091062
11,0.5211001833988543,0.5298844329663753,0.5164558563087297
12,0.5227304169459155,0.5324973195017578,0.5185521448699956
13,0.5244700957726173,0.5353621951165938,0.520566743810144
14,0.5266481285302121,0.5378119283453748,0.5225565770924876
15,0.5282821094187347,0.5401044740308241,0.5241060342103306
16,0.5302799740218228,0.5428261312508655,0.5255028139581805
17,0.5320635651897622,0.5449453688661378,0.526734851312069
18,0.5336186585095911,0.5469252037741689,0.5278627316372018
19,0.5348257719362873,0.5491635355738196,0.5285233971612335
20,0.5366284648181201,0.5507748303920283,0.5294407295572223
21,0.5384999107461447,0.5520971035375338,0.5292466270798452
22,0.5398028353457176,0.5530417446107022,0.5304294295021623
23,0.5413742275205706,0.554253369357198,0.5315983900633352
24,0.543124718819213,0.5556578290075288,0.5317764637683788
25,0.5446062704079287,0.5561816658163479,0.5321156681258928
26,0.5459511662726053,0.5559670960343748,0.5327113027775645
27,0.5468707904159658,0.5565974905139448,0.5325571575773753
28,0.5482667524689807,0.5566845343399689,0.5322146092235589
29,0.5496700339536961,0.5575163909381934,0.5326083410542091
30,0.5503599560044327,0.5577945755022743,0.532678006876739
31,0.5516321508440143,0.558204821406893,0.532796739224422
32,0.5529508878491379,0.5584203237400563,0.5335146696606945
33,0.553584747727134,0.5587834714960286,0.5341103345773646
34,0.5543455362279711,0.5594744031356546,0.5340119008570017
35,0.5553515414146493,0.5597573555747005,0.5341987277356898
36,0.5555599741191405,0.5599437499643156,0.5346301189276189
37,0.5557170475783385,0.5601543193964449,0.5346691135080243
38,0.5563040105605203,0.5603894917186121,0.5353030053173172
39,0.5573688095560997,0.560525753415527,0.5353225407261537
40,0.5581760129236437,0.5606830186158868,0.535761178801804
41,0.5590228636550076,0.5611618276430008,0.5354719244819481
42,0.5598921037493061,0.561663469883337,0.5349646432839483
43,0.5602060537318742,0.5627639296301133,0.5346192950566786
44,0.5607675782685296,0.5633671602817217,0.5342259230457924
45,0.5614599822567078,0.5635580204416397,0.5343468219550538
