TimeStep,Hubs_Top10%,Middle,Periphery_Bottom50%
0,0.5534534189711654,0.5547089716448033,0.5553292117973044
1,0.6015614960452141,0.6039470461251263,0.6051255024148783
2,0.6448587654118583,0.648261313157417,0.6499421639706948
3,0.6824044944705372,0.6866608397960371,0.6886894008131906
4,0.7069713766578827,0.7110979413960642,0.7129814501201059
5,0.7218938282583578,0.726134444287013,0.7278675497037745
6,0.731323387871127,0.7361125813174392,0.7380153612778765
7,0.7377801638301602,0.7430280785544443,0.7450366527921749
8,0.7421011546541948,0.7480310309911091,0.7499343562341868
9,0.7449119543086045,0.7517562433076131,0.7534880699857658
10,0.7468510517233579,0.7543900184644013,0.7561169554097215
11,0.7482766845619929,0.7563547471728965,0.7581524633052825
12,0.7493315841604494,0.757807900784951,0.7597430179115342
13,0.750069681690958,0.7588793915801751,0.7609716851918711
14,0.7505977538796619,0.7597193095524626,0.7619467884560038
15,0.7509946023951284,0.7603422386271304,0.7627188338812829
16,0.751320923808976,0.7608134698459924,0.7633441892664921
17,0.7515711353324669,0.7611760276137248,0.7638339161045183
18,0.7517736143269358,0.7614650528141891,0.7642416054788879
19,0.7519154508240204,0.7616941611467355,0.7645886077123234
20,0.7520189372857029,0.7618804099432258,0.7648618749871428
21,0.7520938281058517,0.7620134137463329,0.765072910077958
22,0.7521458870294073,0.7621186095367729,0.7652338833250746
23,0.7521870248771377,0.7622015172185279,0.7653589473101003
24,0.7522179106808276,0.7622630614613607,0.7654655557347516
25,0.7522385200310935,0.7623090578647986,0.7655521955147431
26,0.7522508138040301,0.7623403525633611,0.7656248698900822
27,0.7522564724257169,0.762360683236559,0.7656853102756368
28,0.752257290840084,0.7623733831577217,0.7657369821002371
29,0.7522571114746337,0.762379100181982,0.7657794147512572
30,0.7522569500457283,0.7623815574318866,0.765813985890945
31,0.752249570050248,0.7623801410972374,0.7658449616284239
32,0.7522376081678492,0.7623775027968509,0.7658719302818958
33,0.7522223617851562,0.762373451612353,0.7658943507159781
34,0.7522064102352038,0.7623694366060734,0.76591402911669
35,0.7521920538402466,0.7623655924534753,0.7659315729415395
36,0.752178207306924,0.7623615653170154,0.765946526567978
37,0.7521651838964041,0.7623580452833074,0.7659600672975728
38,0.7521546796663866,0.7623547950616009,0.7659721605079017
39,0.7521452258593708,0.7623512758654155,0.7659836910730039
40,0.7521372379657052,0.7623476146361375,0.7659941194018615
41,0.7521307932399548,0.7623446413091625,0.7660035048978334
42,0.7521249929867794,0.7623418145990152,0.766012011121378
43,0.7521197727589216,0.7623391636462677,0.7660197933295269
44,0.7521150745538494,0.7623369823024456,0.7660266612174983
45,0.7521108461692846,0.7623352462358297,0.7660328133396553
46,0.752107479861925,0.7623339923742544,0.7660383723283901
47,0.7521046953287227,0.7623330219313118,0.7660433612626967
48,0.7521021892488403,0.7623321475895911,0.7660478440193306
49,0.7520999337769464,0.7623312884158208,0.7660518284157503
50,0.7520979038522417,0.7623305287621022,0.7660555432321692
51,0.7520960769200076,0.7623299862924058,0.7660588865669463
52,0.7520944326809968,0.7623294980696792,0.7660618955682456
53,0.7520929528658872,0.7623289375586703,0.7660646036694149
54,0.7520916210322885,0.7623283707082334,0.7660670459846429
55,0.7520904223820497,0.762327914492479,0.7660692385192925
56,0.7520893435968348,0.762327547528029,0.7660712118004771
57,0.7520883726901413,0.7623271727722413,0.7660729877535434
58,0.7520874988741172,0.7623268354920323,0.7660745861113029
59,0.7520867124396955,0.762326531939844,0.7660760246332864
60,0.752086004648716,0.7623262587428749,0.7660773193030717
61,0.7520853676368344,0.7623260128656024,0.7660784845058783
62,0.7520847943261411,0.7623257915760572,0.7660795331884043
63,0.7520842783465169,0.7623255493429106,0.7660804770026779
64,0.7520838139648552,0.7623253304289741,0.7660813264355241
65,0.7520833960213597,0.7623251334064312,0.766082096970359
66,0.7520830198722137,0.7623249560861426,0.7660828007985241
67,0.7520826813379824,0.7623247964978829,0.7660834342438725
68,0.7520823766571743,0.7623246528684491,0.7660840043446864
69,0.7520821024444468,0.7623245236019586,0.7660845174354185
70,0.7520818556529921,0.7623244072621171,0.7660849883555756
71,0.752081633540683,0.7623243025562602,0.7660854132779916
72,0.7520814336396047,0.7623242083209886,0.7660857957081659
73,0.7520812537286343,0.7623241235092442,0.7660861398953229
74,0.7520810918087608,0.7623240422061284,0.766086449663764
75,0.7520809460808748,0.7623239610714211,0.766086728455361
76,0.7520808149257774,0.7623238880501846,0.7660869793677983
77,0.7520806968861896,0.7623238223310718,0.7660872051889921
78,0.7520805906505608,0.7623237631838701,0.7660874084280663
79,0.7520804950384946,0.7623237099513888,0.7660875913432331
80,0.7520804089876353,0.7623236620421555,0.7660877559668833
81,0.7520803315418618,0.7623236189238454,0.7660879041281685
82,0.7520802618406656,0.7623235801173666,0.7660880374733251
83,0.752080199109589,0.7623235451915353,0.7660881574839661
84,0.7520801426516202,0.7623235137582872,0.7660882654935429
85,0.7520800918394482,0.7623234854683641,0.7660883627021621
86,0.7520800461084934,0.7623234600074333,0.7660884501899196
87,0.7520800049506342,0.7623234370925955,0.766088528928901
88,0.7520799679085607,0.7623234164692415,0.7660885997939844
89,0.7520799345706946,0.762323397908223,0.7660886635725593
90,0.7520799045666152,0.7623233812033062,0.766088720973277
91,0.7520798775629438,0.7623233661688812,0.7660887726339228
