TimeStep,Hubs_InitTop10,Middle,Periph_InitBottom50,GCC_Ratio
0,0.500468945087578,0.5011046050373764,0.5010867841315455,1.0
1,0.5017900080980999,0.5031897218544714,0.5013957612512676,1.0
2,0.5046391736044976,0.5047836911083928,0.5024618006277431,1.0
3,0.5093916722032931,0.5075900451631035,0.505917679340866,1.0
4,0.5148198426579583,0.5108610439853878,0.5077829165104483,1.0
5,0.5192883351550018,0.5143867674456339,0.5127178237304046,1.0
6,0.5257534323090245,0.5174835081740722,0.517712435386801,1.0
7,0.5324974700060249,0.5224377910489457,0.521247949070909,1.0
8,0.5399671187934465,0.5285078889407322,0.5261058025665706,1.0
9,0.5490445657764922,0.5341007380500981,0.5298273298485632,1.0
10,0.559916365996707,0.5400501173615887,0.5350270532067893,1.0
11,0.5684154460447036,0.5457430850281704,0.5419751470882319,1.0
12,0.5796815864825932,0.5511395102178102,0.5473739434294725,1.0
13,0.5889459473463351,0.5561329184846705,0.5523837271593406,1.0
14,0.5970839310831381,0.5629468716884457,0.5582926544321906,1.0
15,0.6065794203756342,0.5682113393836796,0.5640542866618652,1.0
16,0.6158901440888854,0.5737805856397126,0.5702017935569816,1.0
17,0.6257954909302311,0.5813218554358085,0.5760450412277387,1.0
18,0.6326668147026613,0.5887279308104965,0.5820438559749523,1.0
19,0.6400558250140322,0.5939662012727112,0.5873662119524296,1.0
20,0.6474693598131179,0.5999333657860887,0.5940332254418123,1.0
21,0.6555854577343808,0.6064382016974527,0.6007506159609936,1.0
22,0.6630149323892344,0.6127775760903009,0.6067994627612067,1.0
23,0.6694359695985459,0.619452664750329,0.6129353474482662,1.0
24,0.6750719691995306,0.6245927386992335,0.6188432575903469,1.0
25,0.6811837424655494,0.6298067758873186,0.6237280219085719,1.0
26,0.6876038664413004,0.6355207142195591,0.6304338208942966,1.0
27,0.6932613537188768,0.6410264596793198,0.6363765974591503,1.0
28,0.6979138994827935,0.6471443141219391,0.6413130793447608,1.0
29,0.7035143492962077,0.6530940916207687,0.6459568207746824,1.0
30,0.7091044338517628,0.6584808060612105,0.6512238480143318,1.0
31,0.7138601321412161,0.6636339743157871,0.6563005446673513,1.0
32,0.7179959497964751,0.6686478790358881,0.6612946216940541,1.0
33,0.7216412656679951,0.6730485291019597,0.6654066034481418,1.0
34,0.7271475919808755,0.6780033290683013,0.6704967163348027,1.0
35,0.732213080305982,0.6821979742808398,0.6745599241960949,1.0
36,0.734433924272753,0.6852954342217189,0.6791130361603477,1.0
37,0.7392017296432847,0.689070454054724,0.6823669940910286,1.0
38,0.7441372314690164,0.6930505977311848,0.6865277420610726,1.0
39,0.7463951317932837,0.6964113639343453,0.6904694439221893,1.0
40,0.7473899742136879,0.7002112143914071,0.6935596705835487,1.0
41,0.7490249134090791,0.7041275727536589,0.6967424955600248,1.0
42,0.753438033553877,0.7069235217065304,0.7003066944351218,1.0
43,0.7558642599979336,0.7091718559586412,0.7034060148107704,1.0
44,0.7582207470849128,0.7123694471210077,0.7050972045928205,1.0
45,0.7618340997452244,0.7147590072336697,0.7071732107335807,1.0
46,0.7635249801084353,0.7171492602973837,0.7104633313576522,1.0
47,0.7664476575790086,0.7188652369306058,0.7133690504929794,1.0
48,0.7680890618748495,0.720597629999535,0.7154374728010413,1.0
49,0.7709162522889,0.7233057013448194,0.718733778013603,1.0
50,0.7731600449458109,0.725542457194382,0.7206251858139833,1.0
51,0.7766149335037044,0.7277168990856004,0.7227078041146596,1.0
52,0.7787991772018923,0.7298554754895454,0.7260152865331806,1.0
53,0.7790094527967633,0.7313181075424273,0.7284803992207481,1.0
54,0.7812390352887739,0.7329870209284802,0.7308146833441058,1.0
55,0.7824851945008374,0.7360445757223152,0.7324462110422787,1.0
56,0.7843651141320831,0.736565659948346,0.7346072486694413,1.0
57,0.7854269040351702,0.7379162045244116,0.7368029591159193,1.0
58,0.7872534964586978,0.7382282362974653,0.7392365702637158,1.0
59,0.7906313611397784,0.7406659506419871,0.7414460077439917,1.0
60,0.7919638794519189,0.7408530140914152,0.7425371243231121,1.0
61,0.7939204444944098,0.7419904669695678,0.7441796854326526,1.0
62,0.7949883611133133,0.7427671039084595,0.7456321402500474,1.0
63,0.7986744485266283,0.7446908703016635,0.7477746134204075,1.0
64,0.8000253466295874,0.7453222065062681,0.7495348750298294,1.0
65,0.8022203223344333,0.7456076259379482,0.749524376329235,1.0
66,0.8027061916828604,0.7473092918042132,0.7501912796311329,1.0
67,0.8046131752329918,0.7488770766103127,0.7515259476106083,1.0
68,0.8045571006108331,0.750062650479829,0.7522782547491265,1.0
69,0.8025537996886073,0.7509856879814972,0.7535543308916419,1.0
