TimeStep,Macro_S1_Hub,Gap_S1_Hub,Macro_S2_Periph,Gap_S2_Periph,Macro_S3_Random,Gap_S3_Random
0,0.5029158440384965,-0.00027687916291296855,0.500792333414582,4.7458634525709975e-05,0.5025800717613563,-0.0012591119394151917
1,0.5064053940429624,0.0015713794157904415,0.5024188499119391,0.0026686946933772715,0.5051111965415429,0.00011552823610294638
2,0.5102370548241626,0.0029720707718244865,0.5040243567684531,0.0067696064113788035,0.5073840467642172,0.0026272957222914783
3,0.5147191188520379,0.004507141523962477,0.506505407015352,0.009909991452470734,0.5106233066760482,0.0037229554775645157
4,0.5197895946438587,0.006556493193096924,0.5106885766395446,0.0130385939882669,0.5153807804699911,0.0027492964971014278
5,0.525784150359736,0.008408164254336992,0.5147702570778835,0.015761644778930828,0.5195200042048487,0.003647377736639701
6,0.5315592594618497,0.011134536087684221,0.5195906739022048,0.019901888986986416,0.5248538455856172,0.0028506038390611055
7,0.538394033814193,0.012781411316561408,0.5243068770816703,0.023695007323399575,0.5312312971437855,0.0023321815972340287
8,0.5454306972549187,0.01559498462231168,0.5305860384728842,0.026229943484098683,0.5366989422361207,0.0036976904610489525
9,0.5515239930642318,0.02005239181387075,0.5374563043296584,0.030174468158244316,0.5429659763013392,0.004485826830054274
10,0.5586642742263673,0.02367425515045929,0.5436845845988353,0.03309123836160577,0.5497994795437339,0.007019698707133815
11,0.565143841211384,0.028670503527090774,0.5500677179413711,0.03766686160940047,0.5568927348072161,0.008188512419210925
12,0.5713040292016903,0.03295528785230406,0.5568717025695521,0.04270719777228338,0.5634104295814655,0.008911215343424872
13,0.5789074336198486,0.0372675746416139,0.564007055319001,0.045590121625679214,0.5701914873041054,0.01124071325153575
14,0.5863624113775736,0.04217159174184393,0.5710412563263279,0.05048609362453016,0.5773807211121322,0.012757874313474415
15,0.5936773864107763,0.04708796485076683,0.5782733150180408,0.05458701781825348,0.5831251964641708,0.014953679734762026
16,0.6007445868060594,0.05160137061266068,0.585150852783309,0.05788343413271302,0.5899030179072425,0.01493344529684526
17,0.6084971262343124,0.054646637315293844,0.5918141364815749,0.06262845754544755,0.5958819586597935,0.016100444111931234
18,0.6150373806636867,0.05875819658135262,0.598306315518861,0.06732720218443833,0.6016912132128689,0.01666645999447569
19,0.6221074548838943,0.06135942189454846,0.6043098749394595,0.07137106865664822,0.6073929906604867,0.018261889416203547
20,0.6285941730432674,0.06425312521978155,0.6101880680467794,0.07255945433771105,0.612722435255774,0.018789404567040147
21,0.6344861685944501,0.06690203821036445,0.6160956202597927,0.07567567714433376,0.6184676213619309,0.017390810714011717
22,0.6404193488056045,0.06754357808420486,0.6216638677282744,0.07646522450126625,0.6240310851893855,0.017155135165616175
