TimeStep,Macro_t0,Gap_t0,Macro_t50,Gap_t50,Macro_t100,Gap_t100
0,0.5003074108297714,0.0017072066551365173,0.49960891326569556,0.0009351792740604492,0.5016870483788683,0.0018211353033658062
1,0.5022865268327721,0.0020092815706652667,0.4993477785344325,0.0016368959899605295,0.5043993296702773,0.0011723155930242202
2,0.5036655845717567,0.005823043460864041,0.4999119013839394,0.00318533274484456,0.5070132608505168,0.0029661452060136817
3,0.5066030838254904,0.008387427613539278,0.5008946813177659,0.005202074888985497,0.5103171942661643,0.004330787704882932
4,0.5101169779110418,0.010461212281586363,0.5030293326101898,0.006247126697516925,0.5136984586330083,0.0050394390474413076
5,0.5135017588426876,0.014780254821749383,0.5063970384930432,0.005042663996090102,0.5180524305545386,0.006043553467863005
6,0.5173912490964206,0.017290104000222795,0.5093476195860182,0.006300094388759669,0.5218444946928673,0.008124619867795224
7,0.5223155853667081,0.01959192475433058,0.5126456781749396,0.0104830939245254,0.5267088279358588,0.0074182847978947475
8,0.5283908999681928,0.020173223526118722,0.51626519618924,0.01416873885790726,0.5314214960383116,0.010721047540145578
9,0.5345387904448174,0.02317699493172687,0.5206761822690925,0.015677459627021606,0.5359522821172418,0.01344702866890457
10,0.5410503500251957,0.024272579487289225,0.5242194544898162,0.015360879285086781,0.5413316667138248,0.015097781272893962
11,0.5479903042412105,0.026868293552688716,0.5282023351316864,0.01819873614600065,0.5461492396767121,0.01744417946045762
12,0.5542798752229842,0.030747492299385115,0.5326710834543362,0.021190080891135166,0.5511259719706174,0.020534077132729367
13,0.5612925377209868,0.03249074327492396,0.5376757442824238,0.023148157712315376,0.5559758354846247,0.023846810853161093
14,0.5672918381155869,0.03645692151795632,0.5427329975747508,0.025303557604582028,0.5614793879726272,0.026531726287883584
15,0.573931595957753,0.03932261029695072,0.547670730045679,0.02879902041999094,0.566528599012655,0.02963740339537413
16,0.5800833091113955,0.04030564985328189,0.5521511324011956,0.0308271608230416,0.571740579000052,0.03245216901912629
17,0.5864028367873286,0.04298692000252424,0.557500369466066,0.03559844325220196,0.577304226752819,0.035176940845810134
18,0.5926151882290365,0.04346970688288476,0.5636064583563591,0.03668570098417889,0.5827542824260679,0.03890597518883265
19,0.5986192853666017,0.04634924272444807,0.5685261883815115,0.03975471044619194,0.5886755447725617,0.042607919576004294
20,0.6054709297946334,0.048599241049011255,0.5736553887126006,0.040891271259701156,0.5940858170409273,0.04649102034046482
21,0.611913917932575,0.04923877781118002,0.578933153745194,0.04399941744315061,0.5995865726544138,0.049429272207471175
22,0.6179461834855194,0.04840441522845307,0.5842332337540119,0.04709143436999641,0.6055249644137657,0.053406994270234986
23,0.6236975035788754,0.049287502685241735,0.589772979839082,0.05264364217771067,0.6112898963573484,0.05455976516654992
24,0.6290280126477,0.05067218443880639,0.5943818258437821,0.053558570310932474,0.6158929504205342,0.05579140529446913
